Month,ATRISCO_1_SP24-79,ATRISCO_2_SP22-79,ATRISCO_3_SP22-79,ATRISCO_4_SP22-79,BURTON_1_SP30-79,BURTON_2_SP14-79,BURTON_3_SP14-79,BURTON_4_SP30-79,BURTON_5_SP37-79,CHARLES_1_SP16-79,CHARLES_2_SP16-79,CHARLES_3_SP16-79,CHARLES_4_SP16-79,CHARLES_5_SP33-79,COLLEGE_1_SP23-79,COLLEGE_2_SP23-79,CORONADO_1_SP30-79,CORONADO_2_SP39-79,DURANES_1_SP13-79,DURANES_2_SP13-79,DURANES_3_SP12-79,DURANES_4_SP12-79,DURANES_5_SP12-79,DURANES_6_SP12-79,DURANES_7_SP12-79,GONZALES_1_SP39-79,GONZALES_2_SP36-79,GONZALES_3_SP52-79,GRIEGOS_1_SP13-79,GRIEGOS_3_SP12-79,GRIEGOS_4_SP12-79,LEAVITT_1_SP17-79,LEAVITT_2_SP17-79,LEAVITT_3_SP30-79,LEYENDCKR_1_SP13-79,LEYENDCKR_2_SP13-79,LEYENDCKR_3_SP13-79,LEYENDCKR_4_SP13-79,LOMAS_1_SP14-79,LOMAS_5_SP30-79,LOMAS_6_SP30-79,LOVE_1_SP13-79,LOVE_3_SP13-79,LOVE_4_SP13-79,LOVE_5_SP13-53,LOVE_6_SP16-79,LOVE_7_SP16-79,LOVE_8_SP16-79,METRODETCTR_SP58-79,MILES_1_SP19-65,NM_UTL_1_SP14-79,NM_UTL_2_SP15-79,NM_UTL_3_SP23-79,NM_UTL_4_SP43-79,NM_UTL_5_SP49-79,NM_UTL_7,NM_UTL_8,NM_UTL_9,PONDEROSA_2_SP16-79,PONDEROSA_3_SP19-65,PONDEROSA_4_SP21-79,PONDEROSA_6_SP21-79,RIDGECREST_1_SP15-79,RIDGECREST_2_SP19-79,RIDGECREST_3_SP16-79,RIDGECREST_4_SP16-79,RIDGECREST_5_SP35-79,SAN_JOSE_1_SP12-58,SAN_JOSE_2A_SP30-79,SAN_JOSE_3A_SP22-79,SANTABAR_1_SP15-79,THOMAS_1_SP13-79,THOMAS_2_SP13-64,THOMAS_3_SP13-56,THOMAS_4_SP13-79,THOMAS_5_SP33-79,THOMAS_6_SP33-79,THOMAS_7_SP33-79,THOMAS_8_SP39-79,VOLANDIA_1_SP14-79,VOLANDIA_2_SP14-79,VOLANDIA_3_SP14-79,VOLANDIA_4_SP14-79,VOLANDIA_5_SP14-79,VOLANDIA_6_SP14-79,VOLCLIFFS_1_SP16-79,VOLCLIFFS_2_SP16-79,VOLCLIFFS_3_SP30-79,WALKER_1_SP28-79,WALKER_2_SP31-79,WALKER_3_SP44-79,WALKER_4_SP44-79,WEBSTER_1_SP23-79,WEBSTER_2_SP23-79,WEST_MESA_1_SP13-79,WEST_MESA_3_SP16-54,WEST_MESA_4_SP17-69,YALE_1_SP17-79,YALE_2_SP16-79,YALE_3_SP16-79,ZAMORA_1_SP39-79,ZAMORA_2_SP49-79
11/1/2001,39950000,15450000,23360000,11520000,50360000,33200000,17870000,29330000,63010000,60950000,0,37800000,52880000,0,0,24440000,23520000,50750000,190000,36190000,22250000,0,17410000,7590000,26870000,9240000,16290000,0,27310000,18660000,23200000,9610000,7040000,39980000,7200000,10040000,26700000,38900000,31090000,0,0,17280000,29010000,28500000,0,15780000,0,43910000,NA,22500000,NA,NA,NA,NA,NA,NA,NA,NA,42060000,30980000,9200000,18810000,13190000,25180000,48440000,57390000,55220000,3020000,18120000,30850000,44320000,80000,7020000,20000,10150000,11350000,19960000,33480000,48740000,40740000,25960000,20950000,17930000,36650000,27490000,0,16880000,23610000,0,27380000,0,26950000,9650000,30680000,5120000,0,28870000,42880000,10920000,18110000,35120000,72460000
12/1/2001,33090000,12470000,21390000,9180000,26690000,43230000,15500000,26550000,66160000,60120000,0,23600000,72930000,0,0,17680000,12930000,46800000,0,25720000,6400000,0,25480000,4470000,34920000,11670000,16500000,0,45960000,18120000,31490000,19210000,3430000,24120000,6110000,1710000,12820000,17190000,4460000,0,0,11360000,7350000,22110000,0,10800000,10000,37450000,NA,3540000,NA,NA,NA,NA,NA,NA,NA,NA,40070000,18030000,2520000,6980000,13000000,22240000,31270000,51020000,13120000,4590000,26670000,42250000,35180000,0,5570000,0,4100000,6200000,20820000,32420000,22140000,33680000,36990000,24850000,20580000,23150000,50220000,0,12980000,22060000,14130000,16270000,0,12800000,8150000,18480000,2480000,0,33070000,44390000,7120000,29180000,31160000,66490000
1/1/2002,33850000,13710000,14340000,13240000,53590000,26080000,10290000,35010000,29960000,35210000,0,33770000,43030000,0,0,10550000,38250000,12710000,410000,45510000,26510000,1190000,12520000,3940000,16550000,17800000,21620000,0,23330000,16720000,9160000,16250000,6580000,19080000,2710000,11160000,29730000,39060000,18310000,0,0,12530000,9060000,17530000,0,7660000,2290000,43300000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,18730000,13800000,2120000,4510000,16690000,24640000,12210000,19360000,78500000,3390000,25580000,39180000,46080000,0,5420000,0,2960000,11430000,40710000,14010000,31530000,39360000,28900000,30500000,32550000,11460000,44510000,0,31830000,50680000,16330000,22350000,0,5700000,5660000,21230000,4300000,0,40750000,49770000,17190000,39150000,12690000,26870000
2/1/2002,43620000,17980000,15920000,13950000,24470000,42620000,18790000,14980000,54890000,24430000,30000,21680000,28780000,0,30000,7100000,570000,47550000,0,44460000,24020000,11270000,21140000,0,22510000,18300000,19760000,0,34990000,23430000,24860000,4800000,15010000,18370000,7780000,13380000,31280000,46250000,27330000,0,0,6710000,3910000,7850000,0,12720000,30180000,52130000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,30410000,0,60000,11680000,770000,35180000,25510000,37550000,52070000,960000,17400000,19900000,22200000,0,5200000,0,8730000,6410000,31260000,32160000,6770000,46000000,12980000,33510000,14400000,0,24650000,0,8230000,17170000,1120000,29510000,0,11150000,9240000,23090000,1310000,0,22930000,51720000,18530000,35960000,38910000,58070000
3/1/2002,44160000,19670000,20620000,16520000,29880000,18120000,8640000,17680000,31800000,67720000,0,52240000,72810000,0,0,24780000,41140000,36740000,0,46480000,32790000,6180000,28760000,0,39500000,19250000,21640000,0,36700000,24770000,25760000,10320000,11320000,48480000,14670000,16110000,38050000,42550000,33410000,0,0,0,19870000,32770000,0,13970000,28190000,69150000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44910000,0,0,31960000,22480000,55980000,59570000,67320000,69730000,420000,29760000,48220000,38160000,0,10210000,0,14130000,24830000,46200000,49650000,45690000,49500000,39620000,33770000,32500000,5560000,43550000,0,17100000,24980000,15470000,18550000,0,28010000,9620000,35310000,3300000,0,42710000,51030000,47110000,37630000,43790000,80560000
4/1/2002,55610000,21240000,25970000,20420000,62470000,46900000,24970000,48680000,66530000,71820000,4540000,55430000,80610000,0,170000,34660000,31870000,55530000,23700000,56490000,1240000,9520000,29470000,10560000,40630000,22890000,29620000,10000,39660000,28530000,30640000,14140000,13860000,54440000,30910000,34760000,49530000,54330000,31120000,26800000,32130000,10950000,20280000,35270000,0,13950000,31240000,61970000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,31520000,0,0,43290000,23310000,45540000,60730000,70690000,75310000,2920000,30420000,47170000,59240000,7180000,22190000,0,21280000,35670000,57230000,50360000,53280000,55670000,47670000,40050000,42300000,53730000,46960000,27180000,18620000,33530000,21480000,37440000,5390000,11790000,53190000,9610000,5050000,0,43460000,61200000,44670000,43210000,46410000,72770000
5/1/2002,63090000,27460000,39690000,24230000,72500000,53900000,33350000,59070000,88060000,84670000,34040000,68860000,95790000,23320000,0,47380000,43850000,58760000,21660000,75630000,46180000,0,32060000,38890000,51110000,22600000,28960000,5850000,57500000,36700000,40650000,18940000,17580000,63020000,40460000,42070000,58380000,61150000,33460000,15160000,71620000,10610000,27500000,41890000,0,16770000,5230000,66750000,NA,270000,NA,NA,NA,NA,NA,NA,NA,NA,120000,27110000,0,59330000,26660000,51700000,59280000,78480000,76860000,7050000,35440000,52580000,70090000,31150000,29620000,0,34990000,48630000,66670000,56810000,59220000,79940000,60840000,47820000,48100000,43930000,53840000,35330000,26590000,46640000,23380000,50920000,1810000,40510000,60860000,28780000,6770000,0,53810000,67510000,59410000,61260000,54000000,72700000
6/1/2002,73610000,32740000,40960000,32950000,76980000,54390000,35110000,66480000,88860000,90250000,97930000,71640000,89790000,66220000,0,53280000,51890000,62520000,34270000,80110000,46730000,4450000,46660000,40510000,63970000,29440000,34920000,5980000,56950000,35560000,39970000,23020000,21920000,68210000,53220000,56040000,47280000,63030000,32110000,38970000,42510000,35720000,33720000,46900000,0,20750000,0,66340000,NA,41080000,NA,NA,NA,NA,NA,NA,NA,NA,0,14450000,0,65130000,28000000,69600000,43190000,81840000,78440000,4960000,38040000,61710000,73210000,45500000,33550000,0,39230000,59880000,69010000,60330000,60920000,83350000,76710000,53460000,55060000,43220000,60960000,59530000,27200000,42670000,13740000,44170000,45350000,32080000,65890000,53850000,8480000,0,52350000,72190000,66650000,70280000,51700000,70070000
7/1/2002,70950000,29680000,37460000,33000000,65500000,48220000,34170000,55560000,78660000,88420000,90360000,74230000,20790000,34760000,60000,52110000,45370000,58440000,27390000,76150000,41450000,7850000,43620000,33270000,66020000,26470000,33460000,4310000,57140000,38370000,41110000,13680000,20130000,66850000,43970000,43830000,66540000,64380000,30470000,54230000,0,35190000,33060000,45980000,0,19930000,0,66950000,NA,54570000,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,59160000,32220000,74640000,72920000,79980000,69260000,4530000,36360000,54970000,77190000,38570000,31080000,0,35270000,51390000,66010000,55980000,58750000,69360000,63120000,53310000,51730000,46010000,63510000,52830000,31530000,54990000,14440000,33290000,39300000,28080000,57330000,50430000,8490000,0,52900000,68050000,61380000,56730000,50120000,69170000
8/1/2002,72500000,29450000,39350000,33430000,72870000,57670000,34730000,64760000,92160000,91530000,73830000,112830000,4020000,0,0,46420000,43690000,60200000,16920000,48540000,24550000,0,25230000,25360000,32020000,26460000,31360000,17860000,70340000,46380000,52030000,9810000,11450000,57310000,50160000,46140000,62740000,63560000,32620000,65180000,66820000,36680000,33370000,47990000,0,21100000,0,8680000,NA,56710000,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,40560000,29900000,82150000,76720000,81720000,41820000,0,34400000,54860000,95090000,50460000,25110000,0,39350000,49610000,1470000,59470000,66430000,102630000,82230000,69290000,71350000,57370000,76240000,53900000,26640000,53250000,19280000,21150000,38060000,38070000,59640000,55080000,8370000,0,55310000,79840000,72200000,68970000,54870000,70160000
